reporter_iso_3,reporter_name,partner_iso_3,partner_name,year,trade_flow_name,trade_value_1000_usd,trade_value_usd,reporter_continent,partner_continent,reporter_lat,reporter_long,partner_lat,partner_long
ALB,Albania,BIH,Bosnia and Herzegovina,2002,Export,73.774,73774.0,Europe,Europe,41.000028,19.9999619,44.3053476,17.5961467
ALB,Albania,CYP,Cyprus,2002,Export,53.166,53166.0,Europe,Asia,41.000028,19.9999619,34.9823018,33.1451285
ALB,Albania,BIH,Bosnia and Herzegovina,2001,Export,7.744,7744.0,Europe,Europe,41.000028,19.9999619,44.3053476,17.5961467
ALB,Albania,FRA,France,2000,Export,1971.543,1971543.0,Europe,Europe,41.000028,19.9999619,46.603354,1.8883335
ALB,Albania,FRA,France,2002,Export,2083.933,2083933.0,Europe,Europe,41.000028,19.9999619,46.603354,1.8883335
ALB,Albania,JPN,Japan,2000,Export,148.321,148321.0,Europe,Asia,41.000028,19.9999619,36.5748441,139.2394179
ALB,Albania,JOR,Jordan,2001,Export,87.314,87314.0,Europe,Asia,41.000028,19.9999619,31.1667049,36.941628
ALB,Albania,ITA,Italy,2002,Export,236832.597,236832597.0,Europe,Europe,41.000028,19.9999619,42.6384261,12.674297
ALB,Albania,ITA,Italy,2001,Export,216502.632,216502632.0,Europe,Europe,41.000028,19.9999619,42.6384261,12.674297
ALB,Albania,ITA,Italy,2000,Export,184616.153,184616153.0,Europe,Europe,41.000028,19.9999619,42.6384261,12.674297
ALB,Albania,ISR,Israel,2002,Export,0.004,4.0,Europe,Asia,41.000028,19.9999619,30.8124247,34.8594762
ALB,Albania,ISR,Israel,2001,Export,99.803,99803.0,Europe,Asia,41.000028,19.9999619,30.8124247,34.8594762
ALB,Albania,ISR,Israel,2000,Export,6.316,6316.0,Europe,Asia,41.000028,19.9999619,30.8124247,34.8594762
ALB,Albania,ISL,Iceland,2002,Export,7.747,7747.0,Europe,Europe,41.000028,19.9999619,64.9841821,-18.1059013
